student_idx,club_idx,label
366,7,0
128,23,1
375,2,0
996,11,0
619,19,1
602,1,1
507,11,1
797,18,0
170,23,1
222,5,1
904,11,1
769,10,0
843,13,0
498,10,0
925,9,0
927,1,1
516,16,1
92,19,0
533,7,0
719,3,1
691,5,0
391,22,1
901,11,1
676,1,1
467,10,0
359,12,0
963,22,0
287,23,0
866,3,1
233,4,0
731,20,0
313,14,0
523,2,0
171,11,1
132,16,0
874,10,0
721,16,1
266,15,0
613,19,0
273,5,1
872,19,1
586,20,0
229,10,0
393,23,1
562,17,0
776,17,0
453,2,1
432,22,0
649,11,1
612,3,0
209,19,1
766,9,1
726,11,1
487,5,0
345,3,1
391,2,0
216,4,0
830,3,1
678,11,1
606,10,1
471,0,1
595,19,1
794,8,1
534,17,0
326,8,0
317,16,1
829,6,0
976,12,0
125,10,1
564,14,0
778,2,1
639,16,1
979,7,0
348,23,1
989,10,0
256,0,0
268,15,0
329,3,0
367,6,0
302,11,1
696,23,0
751,8,0
465,23,1
528,10,1
186,1,1
985,14,0
90,23,0
127,6,0
566,2,1
652,20,0
439,13,0
797,3,1
888,0,0
18,1,1
686,7,0
196,10,1
250,0,1
832,14,0
420,11,0
403,23,0
208,20,0
769,3,0
560,15,0
584,11,0
753,22,0
291,3,1
303,19,1
825,16,0
342,11,1
53,1,1
125,1,1
463,10,0
467,9,0
289,11,1
861,4,0
486,1,1
924,13,0
799,19,0
503,22,1
655,2,1
389,0,1
450,0,0
582,1,1
124,20,0
116,6,0
435,12,1
977,10,0
387,2,0
880,10,0
145,5,1
152,11,1
440,10,1
888,1,1
593,11,0
504,22,0
231,7,0
720,17,0
255,11,0
313,9,1
544,20,0
842,18,0
845,0,1
613,15,0
363,8,0
112,17,0
561,10,1
682,4,1
868,1,1
93,23,0
198,7,0
680,5,1
126,22,1
851,4,1
954,8,0
16,14,0
367,22,1
325,10,1
702,23,0
441,0,1
80,2,1
105,13,0
893,7,1
821,11,0
59,12,1
134,13,0
992,21,0
610,10,1
782,5,1
760,4,0
85,22,1
543,1,1
832,12,1
541,5,1
270,18,0
162,18,0
988,5,0
129,18,0
752,11,1
461,2,0
681,9,1
626,10,0
650,5,0
958,11,1
115,18,0
294,10,1
691,1,1
311,5,0
101,19,1
260,3,1
871,4,1
725,15,0
998,5,0
378,7,0
608,17,0
474,5,1
156,4,0
577,6,0
896,17,0
417,5,1
283,1,0
569,20,0
125,9,1
124,8,0
951,3,1
907,3,1
975,10,1
929,16,1
986,5,0
220,16,1
826,13,0
616,9,1
134,3,1
384,11,0
465,3,1
798,11,1
96,16,0
667,8,0
141,23,0
994,11,0
98,16,1
61,1,1
173,22,1
812,22,1
183,1,1
63,9,1
948,1,1
393,17,0
150,6,0
757,19,1
39,5,1
995,0,1
141,9,1
791,17,0
868,13,0
678,2,1
431,4,1
893,13,0
240,8,1
268,6,0
559,8,1
224,1,1
330,9,0
815,14,0
186,6,0
630,16,1
947,22,1
395,9,0
38,2,1
128,10,0
790,5,1
37,12,0
546,7,1
392,5,1
947,21,0
798,7,0
12,19,0
585,1,1
385,20,0
970,3,1
677,15,0
119,7,0
776,22,1
184,12,1
24,8,1
482,10,0
727,22,1
802,21,0
153,1,1
155,0,1
788,21,0
686,4,0
185,14,0
184,0,1
381,9,1
852,1,1
197,11,1
90,9,0
826,9,1
163,18,0
606,22,1
954,16,1
591,9,1
551,16,1
143,15,0
634,3,1
332,2,1
673,10,1
104,11,1
836,4,0
520,5,1
10,0,1
949,1,1
856,0,0
631,7,1
68,18,0
869,0,1
16,1,1
990,5,1
501,12,1
7,16,0
237,2,1
423,9,1
981,13,0
327,23,1
447,11,1
209,13,0
568,11,0
924,16,1
619,2,0
44,9,1
471,18,0
828,1,1
156,18,0
962,15,0
81,22,1
783,4,1
856,2,0
554,12,1
588,22,1
191,18,0
19,4,1
771,11,1
360,10,1
572,16,1
828,15,0
9,22,1
376,3,1
376,23,0
119,0,0
62,5,1
80,1,1
938,19,1
800,1,1
872,4,1
237,17,0
534,9,1
88,9,1
155,5,1
676,10,1
699,9,1
615,10,1
370,8,0
920,12,1
130,15,0
10,19,0
585,2,1
187,6,0
346,17,0
101,8,0
752,4,0
614,5,0
453,11,1
146,22,1
181,10,0
438,1,1
424,7,1
992,12,1
725,21,0
357,20,0
177,16,1
657,0,0
278,12,1
520,22,1
297,2,1
390,16,1
9,2,1
750,7,0
921,11,1
917,8,0
428,1,1
141,4,0
880,3,0
281,0,1
466,3,1
979,2,0
765,4,0
463,16,1
507,2,1
51,13,0
351,22,1
22,6,0
913,10,1
427,9,1
460,2,1
965,8,0
209,4,1
100,5,0
768,17,0
886,8,0
240,20,0
669,13,0
753,2,1
837,2,1
64,19,1
286,7,0
957,3,1
935,8,0
522,13,0
577,4,1
343,10,1
66,7,0
978,14,0
724,14,0
624,4,0
25,11,1
366,14,0
233,6,0
253,7,1
594,7,1
958,1,1
444,22,1
446,7,0
484,18,0
75,2,1
351,12,1
727,23,0
684,13,0
481,9,1
469,3,0
196,0,0
588,1,1
268,5,1
835,15,0
163,16,1
837,14,0
843,4,0
583,19,0
626,21,0
466,14,0
285,16,1
89,18,0
918,9,1
768,19,1
677,13,0
32,19,0
969,23,0
8,19,0
740,11,0
297,7,1
915,2,1
964,19,0
924,23,1
734,20,0
492,16,1
542,9,1
582,17,0
695,6,0
570,17,0
718,4,0
647,10,1
760,16,0
458,22,0
63,19,0
519,14,0
15,10,0
896,9,1
862,15,0
685,16,1
210,22,1
50,0,1
665,11,1
563,8,0
850,1,1
161,10,0
291,7,1
186,9,1
350,9,0
408,19,0
114,18,0
178,9,1
360,18,0
689,1,0
73,6,0
220,9,1
642,12,1
83,22,1
481,6,0
294,11,0
949,2,1
308,15,0
443,22,1
273,22,1
203,13,0
24,10,1
213,23,0
501,18,0
421,22,1
280,14,0
586,11,1
379,1,1
932,17,0
572,15,0
585,22,0
922,9,0
750,12,0
868,23,1
627,9,1
478,22,0
738,22,0
227,8,1
426,19,1
221,15,0
871,22,0
951,19,0
56,16,1
293,0,0
468,4,1
34,23,1
160,10,1
427,21,0
697,23,1
288,16,1
338,4,0
221,12,1
740,2,1
644,0,1
500,9,0
580,19,0
90,13,0
523,12,0
302,0,0
517,22,1
323,16,1
115,1,1
746,2,0
842,10,1
69,1,1
927,0,0
943,7,0
412,18,0
934,21,0
993,20,0
877,1,1
860,14,0
290,3,1
476,7,1
673,17,0
602,4,0
824,11,1
548,0,1
798,22,1
263,5,0
929,7,1
448,14,0
333,1,0
175,9,1
406,14,0
24,23,0
870,23,0
362,0,1
85,10,0
396,5,0
186,2,0
780,11,1
280,20,0
807,21,0
546,17,0
749,14,0
735,16,1
156,3,0
249,5,0
370,3,0
941,1,1
349,18,0
714,7,0
914,2,0
798,20,0
217,1,1
928,17,0
409,9,1
104,23,0
53,15,0
649,7,1
740,22,1
802,11,1
95,17,0
682,11,0
20,9,1
335,9,1
647,13,0
601,18,0
600,12,0
255,9,1
380,16,1
526,7,1
562,11,1
320,7,1
435,15,0
738,10,1
410,5,0
539,3,0
978,16,1
445,11,0
940,21,0
52,0,1
398,23,0
508,10,1
62,8,0
858,16,0
306,19,0
997,0,1
839,23,0
937,16,1
86,16,0
343,0,1
981,18,0
355,14,0
850,9,1
910,17,0
785,3,1
579,8,0
460,20,0
379,14,0
448,22,0
688,1,1
938,20,0
730,3,0
286,1,1
480,12,0
835,0,0
0,16,0
351,11,1
532,16,1
677,19,1
863,15,0
187,22,1
262,21,0
761,1,1
511,0,0
427,11,1
410,23,0
573,12,1
581,23,1
181,2,1
523,19,1
431,0,0
322,23,1
630,0,0
620,3,1
794,1,1
770,5,1
722,19,1
773,9,1
24,18,0
240,23,0
522,11,1
467,14,0
344,1,1
728,23,0
174,1,1
662,13,0
594,2,1
11,12,0
559,0,0
811,19,1
203,7,0
708,13,0
99,19,1
624,9,1
735,8,1
679,1,1
242,1,0
783,9,1
500,22,0
422,23,0
45,23,0
24,13,0
817,22,1
253,22,0
801,3,0
956,4,0
423,14,0
243,9,1
511,8,0
155,15,0
925,7,1
436,13,0
966,22,1
473,4,0
443,16,1
288,18,0
133,10,1
713,22,0
190,12,0
927,10,1
751,20,0
304,15,0
491,6,0
443,17,0
535,18,0
939,7,0
278,19,0
627,14,0
378,6,0
300,19,1
292,4,0
637,1,1
513,14,0
91,21,0
446,11,1
442,9,1
393,22,0
710,3,1
661,5,0
857,5,0
337,14,0
936,15,0
637,9,1
29,19,0
31,1,1
360,5,1
614,7,0
933,3,0
839,3,0
94,1,1
990,23,0
229,9,1
389,1,1
850,18,0
412,13,0
109,22,1
820,5,0
14,11,1
447,17,0
463,19,1
997,16,1
640,16,0
118,2,1
999,12,1
215,17,0
325,0,1
794,11,1
23,2,0
821,10,1
160,7,0
334,0,1
592,14,0
107,22,1
461,1,1
141,10,1
307,9,1
345,22,1
895,16,1
479,12,0
277,19,1
225,16,1
973,22,1
818,0,0
149,16,0
254,3,1
911,8,0
959,8,1
529,22,1
238,23,1
890,18,0
306,13,0
464,1,0
818,2,1
927,6,0
208,19,1
233,0,0
142,19,1
756,3,1
163,7,0
704,20,0
140,22,1
818,14,0
300,6,0
276,2,1
941,10,0
879,1,0
955,11,1
137,23,0
956,2,0
311,22,1
970,5,1
98,0,0
261,12,0
896,11,1
331,13,0
644,11,1
108,6,0
815,5,1
310,7,0
910,0,0
830,19,1
747,9,1
894,2,1
516,1,1
718,2,1
693,1,1
288,17,0
264,4,0
973,0,0
103,11,1
170,1,1
732,8,1
466,10,0
249,11,0
174,11,1
296,11,1
883,11,1
852,17,0
237,13,0
835,22,1
18,20,0
765,21,0
725,8,1
711,1,1
621,4,0
664,16,1
900,23,1
468,8,0
162,0,1
202,6,0
177,8,1
103,22,1
84,19,1
493,9,1
659,11,1
858,8,0
645,13,0
510,16,1
536,4,1
980,13,0
554,18,0
42,9,1
962,11,1
364,22,1
787,13,0
594,3,0
437,3,1
582,3,0
507,16,1
47,12,1
412,22,1
57,1,1
580,3,1
823,15,0
285,19,0
518,22,1
561,15,0
906,3,0
182,2,1
636,20,0
739,19,1
536,11,1
658,9,0
141,12,1
309,13,0
634,13,0
206,18,0
571,12,1
941,7,0
635,5,0
437,11,1
976,4,0
350,18,0
363,19,1
6,13,0
422,17,0
882,7,0
102,5,0
772,10,0
866,18,0
422,11,0
34,3,0
537,15,0
256,16,1
672,5,0
663,9,0
182,16,1
531,5,0
173,20,0
215,16,1
520,3,0
560,11,1
982,2,0
272,1,1
478,12,0
468,13,0
885,15,0
200,12,1
714,11,1
937,21,0
935,13,0
243,0,0
60,11,1
930,16,0
315,15,0
737,16,1
132,21,0
508,2,0
489,4,0
813,23,1
821,1,1
655,22,0
351,2,0
613,3,0
419,16,1
573,8,0
891,10,0
223,2,0
717,0,1
153,11,1
49,10,1
228,10,1
472,5,0
639,10,0
120,23,1
794,5,0
97,1,1
766,8,1
76,19,0
425,11,1
986,12,0
170,16,1
832,15,0
748,1,1
134,10,0
840,11,0
317,9,1
214,11,1
935,16,1
908,0,0
812,12,0
808,20,0
445,20,0
98,10,1
401,12,0
850,6,0
92,18,0
235,6,0
400,1,0
709,10,1
92,7,1
899,1,1
451,14,0
767,9,0
446,19,0
482,13,0
220,14,0
930,9,1
645,10,0
781,23,1
384,16,1
853,1,0
118,7,1
697,15,0
523,22,1
146,4,0
61,20,0
997,11,1
848,8,0
362,17,0
238,10,1
339,18,0
70,15,0
559,1,1
580,15,0
580,11,1
505,7,0
782,23,1
194,5,0
749,10,1
440,11,0
277,13,0
761,13,0
557,10,1
596,12,0
742,3,1
963,1,1
668,1,1
427,14,0
715,3,1
617,1,1
19,7,0
600,17,0
694,9,1
554,22,1
849,21,0
654,6,0
441,14,0
660,10,1
849,4,1
447,13,0
48,11,1
19,10,0
945,18,0
180,10,1
134,8,0
988,17,0
217,8,1
679,15,0
567,19,0
838,17,0
931,19,0
385,19,0
36,7,1
841,4,1
135,8,1
8,6,0
161,2,1
306,10,1
507,1,1
848,2,1
282,9,1
236,2,1
248,1,1
6,3,0
154,16,1
254,6,0
757,21,0
592,16,1
816,0,1
57,16,0
742,14,0
660,23,0
256,20,0
651,18,0
591,11,1
219,22,1
874,6,0
206,2,1
304,5,0
197,4,1
670,22,1
104,18,0
493,12,1
494,6,0
